pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|██████████████████████████████████████████████████| 53/53 [00:38<00:00,  1.38it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:06, 14.87it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126400 number of indices sampled from imagenet.
new epoch: 2
Train: [2][640/1040]	BT 0.200 (0.200)	DT 0.000 (0.004)	loss 4.458 (4.369)
Train: [2][650/1040]	BT 0.197 (0.200)	DT 0.000 (0.004)	loss 4.296 (4.369)
Train: [2][660/1040]	BT 0.197 (0.200)	DT 0.000 (0.003)	loss 4.172 (4.370)
Train: [2][670/1040]	BT 0.199 (0.200)	DT 0.000 (0.003)	loss 4.536 (4.370)
Train: [2][680/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.383 (4.369)
Train: [2][690/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.240 (4.369)
Train: [2][700/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.235 (4.370)
Train: [2][710/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.419 (4.369)
Train: [2][720/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.459 (4.369)
Train: [2][730/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.299 (4.368)
Train: [2][740/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.259 (4.367)
Train: [2][750/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.337 (4.367)
Train: [2][760/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.334 (4.366)
Train: [2][770/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.247 (4.365)
Train: [2][780/1040]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.325 (4.366)
Train: [2][790/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.049 (4.364)
Train: [2][800/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.240 (4.363)
Train: [2][810/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.213 (4.363)
Train: [2][820/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.347 (4.363)
Train: [2][830/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.195 (4.362)
Train: [2][840/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.548 (4.362)
Train: [2][850/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.229 (4.363)
Train: [2][860/1040]	BT 0.199 (0.199)	DT 0.000 (0.003)	loss 4.438 (4.362)
Train: [2][870/1040]	BT 0.198 (0.199)	DT 0.000 (0.003)	loss 4.403 (4.362)
Train: [2][880/1040]	BT 0.197 (0.199)	DT 0.000 (0.003)	loss 4.238 (4.361)
Train: [2][890/1040]	BT 0.198 (0.199)	DT 0.000 (0.003)	loss 4.504 (4.361)
Train: [2][900/1040]	BT 0.197 (0.199)	DT 0.000 (0.003)	loss 4.481 (4.361)
Train: [2][910/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.375 (4.361)
Train: [2][920/1040]	BT 0.197 (0.199)	DT 0.000 (0.003)	loss 4.284 (4.361)
Train: [2][930/1040]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.406 (4.361)
Train: [2][940/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.278 (4.360)
Train: [2][950/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.208 (4.359)
Train: [2][960/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.192 (4.359)
Train: [2][970/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.138 (4.359)
Train: [2][980/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.554 (4.359)
Train: [2][990/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.452 (4.359)
Train: [2][1000/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.300 (4.358)
Train: [2][1010/1040]	BT 0.197 (0.199)	DT 0.000 (0.002)	loss 4.591 (4.358)
Train: [2][1020/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.305 (4.358)
Train: [2][1030/1040]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.314 (4.358)
Train: [2][1040/1040]	BT 0.111 (0.199)	DT 0.000 (0.002)	loss 3.891 (4.358)
Train epoch 2, total time 206.69, loss 4.358
==> Saving...
