pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline_200_epochs/last.pth
SimCore sampling starts!
100%|████████████████████████████████████████████████████████████████████████████████| 53/53 [01:03<00:00,  1.20s/it]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.67it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 5689 number of indices sampled from imagenet.
new epoch: 200
Train: [15][40/97]	BT 0.196 (0.240)	DT 0.000 (0.043)	loss 4.161 (4.151)
Train: [15][50/97]	BT 0.197 (0.231)	DT 0.000 (0.034)	loss 4.123 (4.154)
Train: [15][60/97]	BT 0.196 (0.226)	DT 0.000 (0.029)	loss 4.139 (4.150)
Train: [15][70/97]	BT 0.196 (0.221)	DT 0.000 (0.025)	loss 3.997 (4.141)
Train: [15][80/97]	BT 0.196 (0.218)	DT 0.000 (0.022)	loss 4.126 (4.136)
Train: [15][90/97]	BT 0.196 (0.216)	DT 0.000 (0.019)	loss 4.360 (4.140)
Train epoch 15, total time 20.75, loss 4.135
Train: [16][10/97]	BT 0.201 (0.492)	DT 0.000 (0.292)	loss 3.977 (4.073)
Train: [16][20/97]	BT 0.199 (0.346)	DT 0.000 (0.146)	loss 4.248 (4.098)
Train: [16][30/97]	BT 0.200 (0.297)	DT 0.000 (0.098)	loss 3.958 (4.087)
Train: [16][40/97]	BT 0.198 (0.273)	DT 0.000 (0.073)	loss 3.952 (4.063)
Train: [16][50/97]	BT 0.200 (0.258)	DT 0.000 (0.059)	loss 4.068 (4.043)
Train: [16][60/97]	BT 0.198 (0.248)	DT 0.000 (0.049)	loss 4.043 (4.025)
Train: [16][70/97]	BT 0.195 (0.241)	DT 0.000 (0.042)	loss 3.778 (4.008)
Train: [16][80/97]	BT 0.196 (0.235)	DT 0.000 (0.037)	loss 4.040 (3.993)
Train: [16][90/97]	BT 0.195 (0.231)	DT 0.000 (0.033)	loss 4.046 (3.985)
Train epoch 16, total time 22.10, loss 3.974
Train: [17][10/97]	BT 0.198 (0.428)	DT 0.000 (0.230)	loss 3.608 (3.854)
Train: [17][20/97]	BT 0.197 (0.313)	DT 0.000 (0.115)	loss 3.931 (3.878)
Train: [17][30/97]	BT 0.196 (0.274)	DT 0.000 (0.077)	loss 3.827 (3.896)
Train: [17][40/97]	BT 0.197 (0.254)	DT 0.000 (0.058)	loss 3.767 (3.863)
Train: [17][50/97]	BT 0.197 (0.243)	DT 0.000 (0.046)	loss 3.785 (3.855)
Train: [17][60/97]	BT 0.196 (0.235)	DT 0.000 (0.039)	loss 3.797 (3.845)
Train: [17][70/97]	BT 0.196 (0.230)	DT 0.000 (0.033)	loss 3.741 (3.834)
Train: [17][80/97]	BT 0.195 (0.225)	DT 0.000 (0.029)	loss 3.474 (3.821)
Train: [17][90/97]	BT 0.195 (0.222)	DT 0.000 (0.026)	loss 3.900 (3.821)
Train epoch 17, total time 21.31, loss 3.817
Train: [18][10/97]	BT 0.198 (0.361)	DT 0.000 (0.163)	loss 3.683 (3.732)
Train: [18][20/97]	BT 0.204 (0.280)	DT 0.000 (0.082)	loss 3.635 (3.772)
Train: [18][30/97]	BT 0.198 (0.253)	DT 0.000 (0.055)	loss 3.755 (3.766)
Train: [18][40/97]	BT 0.197 (0.240)	DT 0.000 (0.041)	loss 3.810 (3.768)
Train: [18][50/97]	BT 0.198 (0.232)	DT 0.000 (0.033)	loss 3.649 (3.757)
Train: [18][60/97]	BT 0.201 (0.226)	DT 0.000 (0.027)	loss 3.665 (3.750)
Train: [18][70/97]	BT 0.197 (0.222)	DT 0.000 (0.024)	loss 3.909 (3.750)
Train: [18][80/97]	BT 0.197 (0.219)	DT 0.000 (0.021)	loss 3.696 (3.757)
Train: [18][90/97]	BT 0.197 (0.217)	DT 0.000 (0.018)	loss 3.707 (3.750)
Train epoch 18, total time 20.85, loss 3.744
Train: [19][10/97]	BT 0.198 (0.469)	DT 0.000 (0.271)	loss 3.659 (3.694)
Train: [19][20/97]	BT 0.196 (0.333)	DT 0.000 (0.136)	loss 3.536 (3.694)
Train: [19][30/97]	BT 0.196 (0.287)	DT 0.000 (0.091)	loss 3.720 (3.676)
Train: [19][40/97]	BT 0.197 (0.265)	DT 0.000 (0.068)	loss 3.518 (3.681)
Train: [19][50/97]	BT 0.198 (0.251)	DT 0.000 (0.054)	loss 3.738 (3.669)
Train: [19][60/97]	BT 0.196 (0.242)	DT 0.000 (0.045)	loss 3.801 (3.680)
Train: [19][70/97]	BT 0.196 (0.235)	DT 0.000 (0.039)	loss 3.524 (3.671)
Train: [19][80/97]	BT 0.196 (0.230)	DT 0.000 (0.034)	loss 3.533 (3.668)
Train: [19][90/97]	BT 0.195 (0.227)	DT 0.000 (0.030)	loss 3.875 (3.662)
Train epoch 19, total time 21.72, loss 3.655
Train: [20][10/97]	BT 0.198 (0.377)	DT 0.000 (0.179)	loss 3.568 (3.609)
Train: [20][20/97]	BT 0.197 (0.288)	DT 0.000 (0.090)	loss 3.592 (3.631)
Train: [20][30/97]	BT 0.196 (0.257)	DT 0.000 (0.060)	loss 3.802 (3.633)
Train: [20][40/97]	BT 0.196 (0.242)	DT 0.000 (0.045)	loss 3.239 (3.607)
Train: [20][50/97]	BT 0.201 (0.233)	DT 0.000 (0.036)	loss 3.762 (3.601)
Train: [20][60/97]	BT 0.200 (0.227)	DT 0.000 (0.030)	loss 3.557 (3.602)
Train: [20][70/97]	BT 0.198 (0.223)	DT 0.000 (0.026)	loss 3.715 (3.585)
Train: [20][80/97]	BT 0.197 (0.220)	DT 0.000 (0.023)	loss 3.555 (3.586)
Train: [20][90/97]	BT 0.197 (0.217)	DT 0.000 (0.020)	loss 3.275 (3.579)
Train epoch 20, total time 20.91, loss 3.570
Train: [21][10/97]	BT 0.201 (0.428)	DT 0.000 (0.228)	loss 3.347 (3.483)
Train: [21][20/97]	BT 0.200 (0.315)	DT 0.000 (0.114)	loss 3.548 (3.518)
Train: [21][30/97]	BT 0.197 (0.276)	DT 0.000 (0.076)	loss 3.651 (3.498)
Train: [21][40/97]	BT 0.197 (0.256)	DT 0.000 (0.057)	loss 3.766 (3.493)
Train: [21][50/97]	BT 0.196 (0.244)	DT 0.000 (0.046)	loss 3.193 (3.478)
Train: [21][60/97]	BT 0.196 (0.236)	DT 0.000 (0.038)	loss 3.409 (3.450)
Train: [21][70/97]	BT 0.196 (0.230)	DT 0.000 (0.033)	loss 3.452 (3.443)
Train: [21][80/97]	BT 0.196 (0.226)	DT 0.000 (0.029)	loss 3.219 (3.430)
Train: [21][90/97]	BT 0.196 (0.223)	DT 0.000 (0.025)	loss 3.314 (3.414)
Train epoch 21, total time 21.36, loss 3.400
Train: [22][10/97]	BT 0.197 (0.382)	DT 0.000 (0.184)	loss 3.007 (3.311)
Train: [22][20/97]	BT 0.196 (0.290)	DT 0.000 (0.092)	loss 3.198 (3.307)
Train: [22][30/97]	BT 0.197 (0.259)	DT 0.000 (0.061)	loss 3.252 (3.297)
Train: [22][40/97]	BT 0.197 (0.243)	DT 0.000 (0.046)	loss 3.440 (3.279)
Train: [22][50/97]	BT 0.197 (0.234)	DT 0.000 (0.037)	loss 3.092 (3.254)
Train: [22][60/97]	BT 0.197 (0.228)	DT 0.000 (0.031)	loss 3.193 (3.255)
Train: [22][70/97]	BT 0.196 (0.223)	DT 0.000 (0.026)	loss 3.221 (3.239)
Train: [22][80/97]	BT 0.196 (0.220)	DT 0.000 (0.023)	loss 3.034 (3.225)
Train: [22][90/97]	BT 0.197 (0.217)	DT 0.000 (0.021)	loss 3.399 (3.220)
Train epoch 22, total time 20.88, loss 3.216
Train: [23][10/97]	BT 0.206 (0.385)	DT 0.001 (0.182)	loss 3.104 (3.226)
Train: [23][20/97]	BT 0.203 (0.294)	DT 0.000 (0.091)	loss 3.265 (3.182)
Train: [23][30/97]	BT 0.200 (0.263)	DT 0.000 (0.061)	loss 3.425 (3.181)
Train: [23][40/97]	BT 0.199 (0.247)	DT 0.000 (0.046)	loss 3.284 (3.179)
